max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,SaftyDegree,TET,TIT,dece,JerkViolation,JerkExceededArea,avgJerk
5782.5409,0.1528,1.0224,0.2805,0.5818,10.3727,2386.3028,0.2673,1.405,0.2369,34.8167,1326.0013,1.91387957,0.583,0.65,5.206,0.3,5.71502,12.0649
4398.2784,0.1546,1.0221,0.2295,0.5032,9.995,2423.3063,0.2674,1.8154,0.2447,32.7102,1259.3741,1.612382034,0.939,0.85,4.609,0.3,10.25137,14.896
5768.7473,0.1502,1.0041,0.278,0.5166,9.8451,2420.7873,0.2928,1.3962,0.2449,34.8331,1295.4787,1.544340279,0.907,0.9,3.974,0.65,17.92061,24.65036
4398.2784,0.1471,1.0221,0.2179,0.5798,9.8403,2383.2357,0.2672,1.8154,0.2446,32.5112,1285.3303,1.242608617,0.857,0.8,5.249,0.35,8.47776,13.46696
5751.8194,0.1499,1.0027,0.2211,0.4809,9.7073,2389.7289,0.2632,1.2586,0.2397,34.5337,1485.2227,1.820413385,0.711,0.75,4.664,0.6,13.65257,23.47898
4398.2784,0.1402,1.0221,0.2179,0.5798,9.841,2383.4911,0.2671,1.8154,0.2446,32.7436,1284.6072,2.75750001,0.669,0.75,4.361,0.55,16.18252,29.50814
5751.5514,0.1529,1.0027,0.2194,0.4809,9.7729,2400.8341,0.2632,1.2586,0.2372,34.6298,1485.2227,1.78698327,0.627,0.7,4.766,0.45,14.75888,26.65425
5782.2371,0.1501,1.001,0.2784,0.5012,10.3399,2399.2018,0.2676,1.3983,0.243,34.6905,1308.0825,1.490478628,0.788,0.8,4.023,0.45,7.02081,12.14753
5768.7473,0.1501,1.0042,0.2783,0.5104,9.8451,2415.9943,0.2917,1.3962,0.2433,34.6338,1326.8919,1.449872946,0.782,0.8,4.572,0.5,18.14992,27.96796
5753.994,0.1503,1.0041,0.2194,0.4809,9.7729,2423.49,0.2632,1.2586,0.2434,34.6298,1485.2227,2.781449811,0.65,0.7,4.809,0.5,13.04892,24.02609
4398.2784,0.1448,1.0221,0.2179,0.5798,9.841,2383.4911,0.2676,1.8154,0.2446,32.7436,1239.3095,2.270910525,0.92,0.85,5.108,0.3,7.53469,11.94791
5781.5791,0.1452,1.0011,0.2784,0.5012,10.2623,2399.2018,0.2676,1.3983,0.2393,34.6566,1307.7984,1.7816355,0.824,0.85,4.262,0.55,19.6861,28.40689
4398.2784,0.155,1.0221,0.229,0.5032,9.9849,2423.3063,0.2674,1.8154,0.2447,32.7088,1284.7972,2.635072231,0.587,0.65,4.988,0.3,12.2297,24.13634
5782.2313,0.155,1.001,0.2784,0.5012,10.3399,2387.1742,0.2676,1.3983,0.243,34.6772,1308.348,1.166733231,0.928,0.9,4.137,0.7,20.66681,28.25361
5782.5409,0.153,1.0049,0.2783,0.5818,10.3713,2386.3028,0.2673,1.405,0.2369,34.6905,1309.0177,1.692710941,0.698,0.75,4.726,0.35,11.95194,20.06457
5788.8428,0.153,1.0049,0.2783,0.5818,10.3727,2386.3028,0.2673,1.405,0.2369,34.6905,1309.0177,1.818291802,0.582,0.65,5.145,0.3,7.16178,14.68972
5769.062,0.1548,1.0042,0.2783,0.5104,9.8451,2416.034,0.2917,1.3962,0.2433,34.7915,1326.8919,2.260511339,0.455,0.6,4.968,0.25,9.45235,20.47858
4359.0558,0.1499,1.0221,0.229,0.4991,9.988,2423.3063,0.2658,1.8154,0.2436,32.7102,1284.0211,1.68340933,0.665,0.7,4.989,0.35,18.80342,33.04223
4398.2784,0.1546,1.0221,0.2295,0.5032,9.9853,2423.3063,0.2674,1.8154,0.2447,32.7088,1284.6153,1.559679482,0.766,0.75,5.221,0.25,7.06969,12.94426
5783.4526,0.153,1.0219,0.2795,0.5818,10.3727,2425.7843,0.2674,1.405,0.2451,34.6061,1308.5604,2.830741084,0.807,0.8,4.371,0.4,18.44587,28.18054
